USER:hey12
CREATED_ADD:2020/06/30 17:21:30
PASSWORD:12

click_menu_button:2020/06/30 17:21:30>>panel:Mage

GoTo:2020/06/30 17:21:32>>MainMenu

ClickButton:2020/06/30 17:21:35>>collection

mana_filter:2020/06/30 17:21:37>>mana:10

click_menu_button:2020/06/30 17:21:39>>panel:Mage

click_menu_button:2020/06/30 17:21:39>>panel:Warlock

build_new_deck:2020/06/30 17:21:48>>name:hey11_hero:mage

click_menu_button:2020/06/30 17:21:49>>panel:Mage

add_card_toDeck:2020/06/30 17:21:53>>Polymorph

click_menu_button:2020/06/30 17:21:54>>panel:Mage

add_card_toDeck:2020/06/30 17:21:55>>BearShark

click_menu_button:2020/06/30 17:21:56>>panel:Mage

mana_filter:2020/06/30 17:21:58>>mana:10

click_menu_button:2020/06/30 17:21:58>>panel:Priest

mana_filter:2020/06/30 17:22:02>>mana:10

click_menu_button:2020/06/30 17:22:02>>panel:Neutral

add_card_toDeck:2020/06/30 17:22:04>>Sathrovarr

click_menu_button:2020/06/30 17:22:05>>panel:Mage

mana_filter:2020/06/30 17:22:08>>mana:10

click_menu_button:2020/06/30 17:22:08>>panel:Neutral

add_card_toDeck:2020/06/30 17:22:09>>TombWarden

click_menu_button:2020/06/30 17:22:10>>panel:Mage

mana_filter:2020/06/30 17:22:12>>mana:10

click_menu_button:2020/06/30 17:22:12>>panel:Neutral

click_card:2020/06/30 17:22:17>>go_to_shop

buy_card:2020/06/30 17:22:34>>SecurityRover

click_menu_button:2020/06/30 17:22:36>>panel:Mage

buy_card:2020/06/30 17:22:44>>CurioCollector

click_menu_button:2020/06/30 17:22:45>>panel:Mage

GoTo:2020/06/30 17:22:50>>MainMenu

ClickButton:2020/06/30 17:22:52>>collection

mana_filter:2020/06/30 17:22:57>>mana:10

click_menu_button:2020/06/30 17:22:57>>panel:Hunter

mana_filter:2020/06/30 17:23:00>>mana:10

click_menu_button:2020/06/30 17:23:00>>panel:Neutral

add_card_toDeck:2020/06/30 17:23:14>>SecurityRover

click_menu_button:2020/06/30 17:23:15>>panel:Mage

mana_filter:2020/06/30 17:23:18>>mana:10

click_menu_button:2020/06/30 17:23:18>>panel:Neutral

add_card_toDeck:2020/06/30 17:23:20>>CurioCollector

click_menu_button:2020/06/30 17:23:21>>panel:Mage

mana_filter:2020/06/30 17:23:24>>mana:10

click_menu_button:2020/06/30 17:23:24>>panel:Neutral

add_card_toDeck:2020/06/30 17:23:27>>SecurityRover

click_menu_button:2020/06/30 17:23:28>>panel:Mage

logIn:2020/06/30 17:28:55>>player logged in.

click_menu_button:2020/06/30 17:28:55>>panel:Mage

GoTo:2020/06/30 17:28:56>>MainMenu

ClickButton:2020/06/30 17:28:57>>collection

click_deck_button:2020/06/30 17:28:59>>hey11

mana_filter:2020/06/30 17:29:01>>mana:10

click_menu_button:2020/06/30 17:29:03>>panel:Mage

click_menu_button:2020/06/30 17:29:03>>panel:Mage

add_card_toDeck:2020/06/30 17:29:04>>Polymorph

add_card_toDeck:2020/06/30 17:29:07>>BearShark

mana_filter:2020/06/30 17:29:09>>mana:10

GoTo:2020/06/30 17:29:09>>MainMenu

ClickButton:2020/06/30 17:29:11>>collection

logIn:2020/06/30 17:30:07>>player logged in.

click_menu_button:2020/06/30 17:30:07>>panel:Mage

GoTo:2020/06/30 17:30:08>>MainMenu

ClickButton:2020/06/30 17:30:10>>collection

click_deck_button:2020/06/30 17:30:11>>hey11

mana_filter:2020/06/30 17:30:14>>mana:10

click_menu_button:2020/06/30 17:30:16>>panel:Mage

click_menu_button:2020/06/30 17:30:16>>panel:Mage

add_card_toDeck:2020/06/30 17:30:17>>Polymorph

add_card_toDeck:2020/06/30 17:30:21>>Polymorph

logIn:2020/06/30 17:30:46>>player logged in.

click_menu_button:2020/06/30 17:30:47>>panel:Mage

GoTo:2020/06/30 17:30:48>>MainMenu

ClickButton:2020/06/30 17:30:49>>collection

mana_filter:2020/06/30 17:30:53>>mana:10

click_menu_button:2020/06/30 17:30:55>>panel:Mage

click_menu_button:2020/06/30 17:30:55>>panel:Mage

click_deck_button:2020/06/30 17:30:59>>hey11

add_card_toDeck:2020/06/30 17:31:02>>Polymorph

add_card_toDeck:2020/06/30 17:31:04>>BearShark

mana_filter:2020/06/30 17:31:08>>mana:10

click_menu_button:2020/06/30 17:31:08>>panel:Hunter

mana_filter:2020/06/30 17:31:15>>mana:10

click_menu_button:2020/06/30 17:31:15>>panel:Neutral

add_card_toDeck:2020/06/30 17:31:17>>Sathrovarr

mana_filter:2020/06/30 17:31:21>>mana:10

click_menu_button:2020/06/30 17:31:21>>panel:Hunter

